Touch Area (mm²),Pressure (force),Age Group
324,1.46,Teen
516,2.53,Adult
117,0.55,Child
318,1.57,Teen
480,2.41,Adult
454,2.28,Adult
107,0.49,Child
239,1.17,Teen
585,3.0,Adult
88,0.51,Child
73,0.35,Child
114,0.51,Child
70,0.38,Child
93,0.49,Child
124,0.57,Child
100,0.55,Child
529,2.62,Adult
462,2.29,Adult
290,1.33,Teen
118,0.64,Child
301,1.39,Teen
106,0.53,Child
120,0.53,Child
89,0.43,Child
105,0.57,Child
279,1.37,Teen
538,2.62,Adult
503,2.6,Adult
287,1.38,Teen
642,3.06,Adult
291,1.45,Teen
307,1.49,Teen
133,0.74,Child
559,2.86,Adult
70,0.35,Child
489,2.41,Adult
122,0.57,Child
606,2.96,Adult
563,2.82,Adult
320,1.51,Teen
274,1.3,Teen
476,2.31,Adult
130,0.68,Child
274,1.47,Teen
551,2.76,Adult
118,0.54,Child
462,2.39,Adult
546,2.78,Adult
72,0.35,Child
70,0.35,Child
286,1.29,Teen
575,2.85,Adult
296,1.51,Teen
510,2.65,Adult
248,1.14,Teen
540,2.8,Adult
567,2.96,Adult
573,2.92,Adult
577,2.98,Adult
257,1.34,Teen
498,2.58,Adult
294,1.48,Teen
80,0.44,Child
324,1.7,Teen
115,0.51,Child
543,2.67,Adult
304,1.47,Teen
128,0.67,Child
91,0.51,Child
509,2.5,Adult
119,0.64,Child
83,0.45,Child
529,2.54,Adult
87,0.43,Child
88,0.47,Child
293,1.53,Teen
522,2.69,Adult
259,1.33,Teen
540,2.58,Adult
137,0.68,Child
273,1.44,Teen
483,2.51,Adult
539,2.63,Adult
534,2.61,Adult
576,2.95,Adult
546,2.83,Adult
474,2.4,Adult
137,0.59,Child
271,1.27,Teen
554,2.75,Adult
250,1.14,Teen
95,0.53,Child
286,1.31,Teen
288,1.47,Teen
132,0.61,Child
541,2.64,Adult
316,1.72,Teen
70,0.35,Child
515,2.53,Adult
111,0.51,Child
115,0.57,Child
134,0.58,Child
299,1.4,Teen
101,0.57,Child
252,1.31,Teen
230,1.1,Teen
96,0.44,Child
316,1.7,Teen
506,2.43,Adult
519,2.61,Adult
566,2.7,Adult
495,2.58,Adult
607,3.01,Adult
101,0.5,Child
103,0.52,Child
316,1.51,Teen
283,1.37,Teen
508,2.66,Adult
260,1.38,Teen
616,2.96,Adult
78,0.36,Child
71,0.41,Child
604,3.05,Adult
249,1.28,Teen
452,2.28,Adult
576,2.87,Adult
527,2.7,Adult
298,1.38,Teen
571,2.87,Adult
257,1.29,Teen
506,2.63,Adult
250,1.2,Teen
254,1.23,Teen
330,1.75,Teen
101,0.53,Child
550,2.75,Adult
78,0.42,Child
457,2.2,Adult
120,0.67,Child
492,2.49,Adult
591,3.07,Adult
262,1.41,Teen
317,1.57,Teen
113,0.5,Child
122,0.53,Child
295,1.51,Teen
308,1.39,Teen
321,1.54,Teen
247,1.19,Teen
562,2.85,Adult
486,2.45,Adult
77,0.37,Child
505,2.56,Adult
254,1.26,Teen
499,2.5,Adult
321,1.52,Teen
233,1.18,Teen
75,0.36,Child
476,2.27,Adult
245,1.26,Teen
275,1.41,Teen
139,0.75,Child
128,0.56,Child
325,1.71,Teen
271,1.48,Teen
327,1.74,Teen
308,1.45,Teen
289,1.51,Teen
498,2.4,Adult
568,2.7,Adult
276,1.43,Teen
481,2.32,Adult
287,1.38,Teen
623,3.01,Adult
280,1.49,Teen
112,0.51,Child
595,3.08,Adult
614,3.07,Adult
279,1.32,Teen
500,2.44,Adult
587,2.98,Adult
81,0.37,Child
80,0.44,Child
83,0.35,Child
522,2.68,Adult
312,1.55,Teen
242,1.2,Teen
631,3.14,Adult
83,0.47,Child
87,0.48,Child
569,2.96,Adult
101,0.5,Child
76,0.35,Child
261,1.24,Teen
516,2.69,Adult
243,1.14,Teen
573,2.79,Adult
96,0.44,Child
572,2.81,Adult
278,1.47,Teen
290,1.39,Teen
275,1.43,Teen
110,0.55,Child
477,2.42,Adult
106,0.54,Child
297,1.52,Teen
467,2.24,Adult
301,1.36,Teen
634,3.25,Adult
294,1.44,Teen
90,0.46,Child
299,1.4,Teen
455,2.24,Adult
616,3.08,Adult
509,2.57,Adult
71,0.35,Child
140,0.65,Child
307,1.57,Teen
279,1.3,Teen
99,0.45,Child
104,0.52,Child
611,3.02,Adult
536,2.67,Adult
604,3.16,Adult
293,1.35,Teen
250,1.37,Teen
310,1.49,Teen
641,3.3,Adult
99,0.43,Child
330,1.73,Teen
320,1.68,Teen
544,2.84,Adult
103,0.57,Child
275,1.33,Teen
136,0.71,Child
290,1.44,Teen
472,2.44,Adult
120,0.68,Child
104,0.57,Child
284,1.29,Teen
575,3.01,Adult
556,2.79,Adult
249,1.37,Teen
241,1.24,Teen
305,1.49,Teen
72,0.4,Child
115,0.53,Child
320,1.5,Teen
231,1.13,Teen
133,0.75,Child
235,1.22,Teen
83,0.47,Child
330,1.63,Teen
83,0.41,Child
132,0.6,Child
599,3.12,Adult
71,0.39,Child
488,2.56,Adult
127,0.62,Child
303,1.57,Teen
272,1.24,Teen
106,0.5,Child
582,3.05,Adult
324,1.52,Teen
246,1.27,Teen
545,2.85,Adult
122,0.54,Child
265,1.21,Teen
481,2.31,Adult
94,0.54,Child
595,2.98,Adult
110,0.55,Child
248,1.15,Teen
78,0.35,Child
603,2.99,Adult
634,3.26,Adult
638,3.3,Adult
289,1.39,Teen
631,3.01,Adult
91,0.5,Child
128,0.73,Child
586,2.89,Adult
298,1.39,Teen
136,0.72,Child
615,2.95,Adult
304,1.4,Teen
264,1.29,Teen
261,1.42,Teen
272,1.49,Teen
585,2.97,Adult
454,2.2,Adult
122,0.58,Child
540,2.83,Adult
112,0.5,Child
84,0.44,Child
96,0.5,Child
529,2.58,Adult
328,1.58,Teen
95,0.49,Child
277,1.5,Teen
308,1.63,Teen
131,0.56,Child
136,0.6,Child
95,0.43,Child
265,1.33,Teen
130,0.73,Child
106,0.59,Child
274,1.36,Teen
531,2.72,Adult
626,3.28,Adult
521,2.62,Adult
236,1.11,Teen
326,1.75,Teen
232,1.22,Teen
490,2.5,Adult
318,1.58,Teen
514,2.67,Adult
117,0.51,Child
116,0.59,Child
73,0.35,Child
602,3.05,Adult
288,1.36,Teen
234,1.1,Teen
99,0.51,Child
132,0.7,Child
267,1.41,Teen
230,1.1,Teen
633,3.2,Adult
475,2.35,Adult
88,0.43,Child
113,0.51,Child
140,0.66,Child
132,0.71,Child
123,0.64,Child
108,0.48,Child
302,1.57,Teen
112,0.53,Child
268,1.4,Teen
91,0.51,Child
477,2.45,Adult
642,3.3,Adult
621,3.09,Adult
287,1.55,Teen
546,2.73,Adult
599,3.03,Adult
475,2.38,Adult
258,1.25,Teen
74,0.37,Child
460,2.37,Adult
634,3.25,Adult
124,0.71,Child
566,2.89,Adult
234,1.1,Teen
306,1.4,Teen
324,1.74,Teen
646,3.07,Adult
301,1.62,Teen
136,0.73,Child
452,2.2,Adult
301,1.43,Teen
315,1.68,Teen
104,0.58,Child
521,2.57,Adult
513,2.59,Adult
464,2.24,Adult
321,1.56,Teen
495,2.47,Adult
72,0.36,Child
235,1.25,Teen
76,0.36,Child
281,1.52,Teen
328,1.5,Teen
283,1.29,Teen
103,0.53,Child
321,1.54,Teen
84,0.38,Child
303,1.41,Teen
248,1.19,Teen
231,1.25,Teen
270,1.27,Teen
239,1.24,Teen
134,0.71,Child
100,0.5,Child
500,2.46,Adult
127,0.65,Child
555,2.86,Adult
139,0.73,Child
252,1.37,Teen
240,1.29,Teen
100,0.49,Child
104,0.49,Child
106,0.51,Child
281,1.46,Teen
276,1.47,Teen
327,1.75,Teen
103,0.48,Child
78,0.36,Child
255,1.24,Teen
535,2.65,Adult
127,0.67,Child
132,0.62,Child
314,1.69,Teen
287,1.47,Teen
597,3.06,Adult
254,1.34,Teen
243,1.2,Teen
71,0.35,Child
119,0.61,Child
322,1.47,Teen
558,2.76,Adult
129,0.61,Child
115,0.63,Child
533,2.61,Adult
116,0.52,Child
467,2.32,Adult
293,1.35,Teen
314,1.59,Teen
454,2.34,Adult
75,0.42,Child
321,1.6,Teen
116,0.58,Child
108,0.52,Child
646,3.23,Adult
452,2.33,Adult
112,0.48,Child
321,1.72,Teen
636,3.05,Adult
324,1.55,Teen
96,0.55,Child
615,3.01,Adult
626,3.21,Adult
246,1.19,Teen
82,0.41,Child
557,2.74,Adult
79,0.39,Child
575,2.89,Adult
569,2.94,Adult
131,0.62,Child
249,1.34,Teen
109,0.56,Child
469,2.39,Adult
614,2.95,Adult
512,2.54,Adult
641,3.3,Adult
301,1.44,Teen
253,1.36,Teen
136,0.7,Child
132,0.65,Child
102,0.52,Child
132,0.65,Child
589,2.84,Adult
562,2.86,Adult
256,1.38,Teen
471,2.47,Adult
293,1.46,Teen
103,0.58,Child
246,1.2,Teen
233,1.1,Teen
477,2.37,Adult
83,0.35,Child
513,2.54,Adult
283,1.37,Teen
79,0.4,Child
281,1.3,Teen
507,2.56,Adult
472,2.43,Adult
525,2.75,Adult
285,1.48,Teen
111,0.51,Child
598,2.89,Adult
455,2.24,Adult
92,0.42,Child
292,1.41,Teen
110,0.61,Child
594,3.01,Adult
232,1.1,Teen
495,2.36,Adult
634,3.27,Adult
259,1.23,Teen
236,1.1,Teen
114,0.52,Child
454,2.34,Adult
598,2.99,Adult
597,2.98,Adult
95,0.45,Child
526,2.7,Adult
72,0.35,Child
456,2.25,Adult
270,1.24,Teen
82,0.39,Child
514,2.56,Adult
263,1.27,Teen
292,1.35,Teen
88,0.46,Child
292,1.32,Teen
539,2.66,Adult
119,0.64,Child
631,3.26,Adult
140,0.75,Child
297,1.44,Teen
499,2.43,Adult
129,0.71,Child
573,2.91,Adult
564,2.82,Adult
325,1.66,Teen
240,1.16,Teen
635,3.14,Adult
89,0.5,Child
547,2.74,Adult
92,0.4,Child
110,0.56,Child
568,2.81,Adult
84,0.38,Child
453,2.25,Adult
87,0.45,Child
112,0.55,Child
584,2.99,Adult
521,2.65,Adult
82,0.41,Child
571,2.92,Adult
299,1.35,Teen
564,2.88,Adult
77,0.42,Child
131,0.68,Child
457,2.23,Adult
137,0.73,Child
533,2.74,Adult
123,0.66,Child
570,2.97,Adult
500,2.43,Adult
574,2.77,Adult
82,0.4,Child
466,2.27,Adult
117,0.6,Child
76,0.36,Child
635,3.03,Adult
127,0.68,Child
580,2.95,Adult
92,0.42,Child
278,1.5,Teen
252,1.38,Teen
115,0.62,Child
309,1.46,Teen
260,1.24,Teen
294,1.42,Teen
279,1.44,Teen
78,0.41,Child
646,3.17,Adult
77,0.43,Child
109,0.59,Child
314,1.61,Teen
293,1.38,Teen
116,0.55,Child
611,2.99,Adult
123,0.59,Child
263,1.45,Teen
600,2.86,Adult
90,0.49,Child
114,0.62,Child
90,0.5,Child
461,2.24,Adult
97,0.42,Child
529,2.58,Adult
123,0.66,Child
110,0.47,Child
325,1.5,Teen
133,0.63,Child
525,2.62,Adult
94,0.47,Child
560,2.67,Adult
126,0.63,Child
234,1.12,Teen
98,0.44,Child
114,0.62,Child
138,0.75,Child
550,2.86,Adult
94,0.46,Child
128,0.71,Child
324,1.47,Teen
536,2.65,Adult
